time,index,x,y,z,pose_id
0:00:00.134900,0,0.539499819278717,0.22559303045272827,-1.324324131011963,BOOKCOVER 
0:00:00.134900,1,0.5580166578292847,0.1756170392036438,-1.2692145109176636,BOOKCOVER 
0:00:00.134900,2,0.5694525241851807,0.17559003829956055,-1.269234299659729,BOOKCOVER 
0:00:00.134900,3,0.581895112991333,0.17646390199661255,-1.2688100337982178,BOOKCOVER 
0:00:00.134900,4,0.5114824771881104,0.17893920838832855,-1.2723543643951416,BOOKCOVER 
0:00:00.134900,5,0.4940176010131836,0.18216371536254883,-1.2725369930267334,BOOKCOVER 
0:00:00.134900,6,0.47871384024620056,0.1863476186990738,-1.2729883193969727,BOOKCOVER 
0:00:00.134900,7,0.602679967880249,0.20982283353805542,-0.8461507558822632,BOOKCOVER 
0:00:00.134900,8,0.45832544565200806,0.22132951021194458,-0.8451195955276489,BOOKCOVER 
0:00:00.134900,9,0.5663090348243713,0.283126562833786,-1.161133050918579,BOOKCOVER 
0:00:00.134900,10,0.5101086497306824,0.28324514627456665,-1.1621215343475342,BOOKCOVER 
0:00:00.134900,11,0.6932225227355957,0.4986739754676819,-0.49713581800460815,BOOKCOVER 
0:00:00.134900,12,0.3575187921524048,0.4968964457511902,-0.5518203973770142,BOOKCOVER 
0:00:00.134900,13,0.7694095373153687,0.9545009136199951,-0.8137377500534058,BOOKCOVER 
0:00:00.134900,14,0.2792905867099762,0.9600061774253845,-0.8538157343864441,BOOKCOVER 
0:00:00.134900,15,0.6224837303161621,0.829167902469635,-1.6179780960083008,BOOKCOVER 
0:00:00.134900,16,0.4967285990715027,0.8273313045501709,-1.6090028285980225,BOOKCOVER 
0:00:00.134900,17,0.6124551892280579,0.7645798921585083,-1.7680799961090088,BOOKCOVER 
0:00:00.134900,18,0.5506376624107361,0.782178521156311,-1.7484042644500732,BOOKCOVER 
0:00:00.134900,19,0.6105128526687622,0.7000781893730164,-1.721923589706421,BOOKCOVER 
0:00:00.134900,20,0.5458704233169556,0.720847487449646,-1.7114757299423218,BOOKCOVER 
0:00:00.134900,21,0.6073706746101379,0.7196870446205139,-1.614994764328003,BOOKCOVER 
0:00:00.134900,22,0.5310521125793457,0.7352991104125977,-1.6030547618865967,BOOKCOVER 
0:00:00.134900,23,0.6293347477912903,1.0827968120574951,-0.019927002489566803,BOOKCOVER 
0:00:00.134900,24,0.40326064825057983,1.0802035331726074,0.022915158420801163,BOOKCOVER 
0:00:00.134900,25,0.6224554777145386,1.5791605710983276,0.19863557815551758,BOOKCOVER 
0:00:00.134900,26,0.39223042130470276,1.5759546756744385,0.25167444348335266,BOOKCOVER 
0:00:00.134900,27,0.6063486933708191,1.9715704917907715,0.963168740272522,BOOKCOVER 
0:00:00.134900,28,0.3987334370613098,1.9650325775146484,0.9077781438827515,BOOKCOVER 
0:00:00.134900,29,0.6111829280853271,2.043421506881714,1.008376121520996,BOOKCOVER 
0:00:00.134900,30,0.38800033926963806,2.0366897583007812,0.9580329656600952,BOOKCOVER 
0:00:00.134900,31,0.579420268535614,2.1166257858276367,0.5119273066520691,BOOKCOVER 
0:00:00.134900,32,0.4453733563423157,2.115459442138672,0.43666940927505493,BOOKCOVER 
0:00:00.241607,0,0.5389164090156555,0.22515778243541718,-1.5524252653121948,BOOKCOVER 
0:00:00.241607,1,0.5580399036407471,0.17652535438537598,-1.4908392429351807,BOOKCOVER 
0:00:00.241607,2,0.5696396231651306,0.17684800922870636,-1.490737795829773,BOOKCOVER 
